device_eui,name,time,position,message_id
000DB5390677365D,admin,2017-09-05T15:21:54.949Z,"{""latitude"":1.324808,""longitude"":104.025865}",0B0000007C8B3671
000DB5320A70344D,admin,2017-09-05T15:35:48.979Z,"{""latitude"":1.322233,""longitude"":104.022572}",0B0000007C8BFFD9
000DB53906643664,admin,2017-09-05T15:37:27.299Z,"{""latitude"":1.3216999999999999,""longitude"":104.02264799999999}",0B0000007C8C153F
000DB5390851366A,admin,2017-09-05T15:38:59.915Z,"{""latitude"":1.32213,""longitude"":104.022542}",0B0000007C8C28F7
000DB53906703661,admin,2017-09-05T15:39:06.491Z,"{""latitude"":1.321758,""longitude"":104.022643}",0B0000007C8C2A52
000DB53903783677,admin,2017-09-05T15:39:48.872Z,"{""latitude"":1.3221779999999999,""longitude"":104.02246799999999}",0B0000007C8C3429
000DB5390860366D,admin,2017-09-05T16:06:54.634Z,"{""latitude"":1.3218619999999999,""longitude"":104.022543}",0B0000007C8DEDA4
000DB539035D3678,admin,2017-09-05T16:40:47.696Z,"{""latitude"":1.320962,""longitude"":104.022628}",0B0000007C909C9F
000DB53908813667,admin,2017-09-05T16:43:31.859Z,"{""latitude"":1.322397,""longitude"":104.022617}",0B0000007C90C438
000DB53908693665,admin,2017-09-05T16:44:54.231Z,"{""latitude"":1.3171869999999999,""longitude"":104.018827}",0B0000007C90D8A2
000DB53906643664,admin,2017-09-05T16:47:26.990Z,"{""latitude"":1.3221699999999998,""longitude"":104.02260199999999}",0B0000007C910895
000DB5390663365D,admin,2017-09-05T16:50:31.197Z,"{""latitude"":1.3175919999999999,""longitude"":104.02190499999999}",0B0000007C9134DD
000DB53906623658,admin,2017-09-05T16:55:28.722Z,"{""latitude"":1.322427,""longitude"":104.02561}",0B0000007C9183F1
000DB53905663661,admin,2017-09-05T16:55:40.295Z,"{""latitude"":1.3221019999999999,""longitude"":104.026468}",0B0000007C9186C3
000DB5320A70344D,admin,2017-09-05T16:55:48.643Z,"{""latitude"":1.3212899999999999,""longitude"":104.02653199999999}",0B0000007C918896
000DB53905693663,admin,2017-09-05T16:56:03.866Z,"{""latitude"":1.320918,""longitude"":104.02718999999999}",0B0000007C918C7F
000DB53906703661,admin,2017-09-05T16:56:06.850Z,"{""latitude"":1.320905,""longitude"":104.027407}",0B0000007C918D21
000DB53906603659,admin,2017-09-05T16:57:18.173Z,"{""latitude"":1.3210979999999999,""longitude"":104.02852}",0B0000007C91A044
000DB53908703675,admin,2017-09-05T16:57:59.749Z,"{""latitude"":1.32101,""longitude"":104.028627}",0B0000007C91AB86
000DB53908703675,admin,2017-09-05T22:00:58.381Z,"{""latitude"":1.318333,""longitude"":104.016335}",0B0000007CAB8414
000DB5390851366B,admin,2017-09-05T22:25:25.705Z,"{""latitude"":1.318335,""longitude"":104.016678}",0B0000007CAE39A3
000DB5390851366B,admin,2017-09-05T23:27:19.371Z,"{""latitude"":1.3184179999999999,""longitude"":104.016773}",0B0000007CB5883F
000DB5390851366B,admin,2017-09-06T00:46:19.087Z,"{""latitude"":1.318003,""longitude"":104.016832}",0B0000007CBDC76C
000DB53908703675,admin,2017-09-06T01:49:57.360Z,"{""latitude"":1.3180049999999999,""longitude"":104.01685499999999}",0B0000007CC34B07
000DB5390851366B,admin,2017-09-06T02:49:18.610Z,"{""latitude"":1.318335,""longitude"":104.01655799999999}",0B0000007CC83D77
000DB53908703675,admin,2017-09-06T03:38:57.872Z,"{""latitude"":1.3183369999999999,""longitude"":104.01657499999999}",0B0000007CCC4EA6
000DB53908703675,admin,2017-09-06T04:42:57.588Z,"{""latitude"":1.318435,""longitude"":104.01646699999999}",0D000000534F20FB
000DB53908703675,admin,2017-09-06T05:54:57.266Z,"{""latitude"":1.318617,""longitude"":104.016808}",0B0000007CD56F31
000DB5390867366A,admin,2017-09-06T08:11:53.012Z,"{""latitude"":1.318667,""longitude"":104.021543}",0B0000007CDDFE20
000DB5390654365B,admin,2017-09-06T08:12:06.549Z,"{""latitude"":1.3188469999999999,""longitude"":104.02157799999999}",0B0000007CDE0F06
